"Código","Nombre científico oficial"
"Hallin","Haliplus lineatocollis"
"Halspp","Haliplus spp."
"Halumb","Halimium umbellatum subsp. umbellatum"
"Halum2","Halimium umbellatum subsp. viscosum"
"Hamluc","Hamearis lucina"
"Haplin","Haplophyllum linifolium"
"Happyg","Hapalaraea pygmaea"
"Haraff","Harpalus affinis"
"Haranx","Harpalus anxius"
"Harcon","Harpalus contemptus"
"Hardis","Harpalus distinguendus"
"Harlae","Harpalus laevipes"
"Harmil","Harpyia milhauseri"
"Harobl","Harpalus oblitus"
"Harrad","Harpactocrates radulifer"
"Harrub","Harpalus rubripes"
"Harruf","Harpalus rufipalpis montanellus"
"Harsul","Harpalus sulphuripes"
"Hedcil","Hedwigia ciliata"
"Hedcon","Hedysarum confertum"
"Hedcre","Hedypnois cretica"
"Hedhel","Hedera helix subsp. helix"
"Hednub","Hedya nubiferana"
"Hedspi","Hedysarum spinosissimum"
"Hedste","Hedwigia stellata"
"Helaeg","Helianthemum aegyptiacum"
"Helape","Helianthemum apenninum"
"Helap2","Helianthemum apenninum subsp. apenninum"
"Helap3","Helianthemum apenninum subsp. stoechadifolium"
"Helarm","Heliothis armigera"
"Helbre","Helophorus brevipalpis"
"Helcan","Helictotrichon cantabricum"
"Helcin","Helianthemum cinereum subsp. rotundifolium"
"Helcup","Heliophanus cupreus"
"Heldic","Helophorus discrepans"
"Heldis","Heliothea discoidaria"
"Heleur","Heliotropium europaeum"
"Helfla","Heliophanus flavipes"
"Helflv","Helophorus flavipes"
"Helfoe","Helleborus foetidus"
"Helhir","Helianthemum hirtum"
"Helita","Helichrysum italicum subsp. serotinum"
"Helled","Helianthemum ledifolium"
"Helnum","Helianthemum nummularium"
"Helnu2","Helianthemun nummularium subsp. Nummularium"
"Helobs","Helophorus obscurus"
"Helocc","Helophorus occidentalis"
"Heloel","Helianthemum oelandicum subsp. incanum"
"Helpel","Heliothis peltigera"
"Helsal","Helianthemum salicifolium"
"Helsqu","Helianthemum squamatum"
"Helsta","Helobdella stagnalis"
"Helsto","Helichrysum stoechas"
"Helst2","Helichrysum stoechas subsp. stoechas"
"Helsyr","Helianthemum syriacum"
"Helvir","Helleborus viridis subsp. occidentalis"
"Hemaes","Hemithea aestivaria"
"Hemcos","Hemicoelus costatus"
"Hemfla","Hemimelaena flaviventris"
"Hemfuc","Hemaris fuciformis"
"Hemnit","Hemicoelus nitidus"
"Hemspp","Hemerodromia spp."
"Hemtit","Hemaris tityus"
"Heoalc","Heodes alciphron"
"Hepnob","Hepatica nobilis"
"Hepspp","Heptagenia spp."
"Hercac","Herpetotheres cachinnans"
"Hercin","Herniaria cinerea"
"Herfru","Herniaria fruticosa var. fruticosa"
"Hergla","Herniaria glabra var. glabra"
"Herhir","Herniaria hirsuta subsp. hirsuta"
"Herlat","Herniaria latifolia"
"Hersca","Herniaria scabrida subsp. scabrida"
"Hersc2","Herniaria scabrida var. glabrescens"
"Hersc3","Herniaria scabrida var. scabrida"
"Hersph","Heracleum sphondylium"
"Hersp2","Heracleum sphondylium subsp. montanum"
"Hersp3","Heracleum sphondylium subsp. pyrenaicum"
"Hescom","Hesperia comma"
"Hespal","Hesperophanes pallidus"
"Hesruf","Hesperus rufipennis"
"Hesser","Hesperophanes sericeus"
"Hetdim","Heterocladium dimorphum"
"Hethet","Heterocladium heteropterum"
"Hetmor","Heteropterus morpheus"
"Hieamp","Hieracium amplexicaule"
"Hiearg","Hieracium argillaceum"
"Hiebou","Hieracium bourgaei"
"Hiecas","Hieracium castellanum"
"Hielae","Hieracium laevigatum"
"Hielah","Hieracium lachenalii"
"Hielat","Hieracium lactucella subsp. lactucella"
"Hiemur","Hieracium murorum"
"Hieniv","Hieracium niveum"
"Hienob","Hieracium nobile"
"Hiepil","Hieracium pilosella"
"Hiepi2","Hieracium pilosella subsp. micradenium"
"Hiepi3","Hieracium pilosella subsp. pilosella"
"Hiepi4","Hieracium pilosella subsp. tricholepium"
"Hiepra","Hieracium praecox"
"Hiesch","Hieracium schmidtii"
"Hievah","Hieracium vahlii"
"Hievog","Hieracium vogesiacum"
"Himhim","Himantopus himantopus"
"Himhir","Himantoglossum hircinum subsp. hircinum"
"Hipbif","Hippocrepis biflora"
"Hipcil","Hippocrepis ciliata"
"Hipcom","Hippocrepis comosa"
"Hipco2","Hippocrepis comosa subsp. squamata"
"Hipfag","Hipparchia fagi"
"Hipfid","Hipparchia fidia"
"Hipher","Hipparchia hermione"
"Hippol","Hippolais polyglotta"
"Hipsca","Hippocrepis scabra"
"Hipsem","Hipparchia semele"
"Hipsta","Hipparchia statilinus"
"Hirinc","Hirschfeldia incana"
"Hirrus","Hirundo rustica"
"Hofpse","Hofmannophila pseudopretella"
"Hollan","Holcus lanatus"
"Holmol","Holcus mollis"
"Holumb","Holosteum umbellatum"
"Homaur","Homalothecium aureum"
"Homlut","Homalothecium lutescens"
"Homnit","Homorocoryphus nitidulus"
"Homser","Homalothecium sericeum"
"Homsin","Homoeosoma sinuella"
"Homtri","Homalia trichomanoides"
"Hooluc","Hookeria lucens"
"Hopamb","Hoplodrina ambigua"
"Hophes","Hoplodrina hesperica"
"Hopoct","Hoplodrina octogenaria"
"Hopsup","Hoplodrina superstes"
"Horeur","Hordelymus europaeus"
"Horlap","Hormathophylla lapeyrousiana"
"Hormur","Hordeum murinum"
"Horpet","Hornungia petraea subsp. petraea"
"Horsec","Hordeum secalinum"
"Horspi","Hormathophylla spinosa"
"Humlup","Humulus lupulus"
"Hupsel","Huperzia selago subsp. selago"
"Hyanon","Hyacinthoides non-scripta"
"Hycduf","Hycleus dufouri"
"Hycpol","Hycleus polymorphus"
"Hydaff","Hydraena affusa"
"Hydamb","Hydropsyche ambigua"
"Hydana","Hydroporus analis"
"Hydang","Hydropsyche angustipennis"
"Hydanu","Hydrochus angustatus"
"Hydbra","Hydroporus brancucii"
"Hydbrc","Hydraena brachymera"
"Hydbul","Hydropsyche bulbifera"
"Hydcar","Hydraena carbonaria"
"Hydcoi","Hydreana corinna"
"Hydcon","Hydroporus constantini"
"Hydcor","Hydraena cordata"
"Hydcou","Hydraena corrugis"
"Hyddin","Hydropsyche dinarica"
"Hyddis","Hydroporus discretus"
"Hydexa","Hydraena exasperata"
"Hydexo","Hydropsyche exocellata"
"Hydfon","Hydropsyche fontinalis"
"Hydfur","Hydriomena furcata"
"Hydgra","Hydraena gracilis"
"Hydibe","Hydraena iberica"
"Hydina","Hydraena inapicipalpis"
"Hydinc","Hydropsyche incognita"
"Hyding","Hydropsyche cf. incognita"
"Hydins","Hydropsyche instabilis"
"Hydint","Hydropsyche gr. instabilis"
"Hydlob","Hydropsyche lobata"
"Hydlon","Hydroporus longulus"
"Hydmar","Hydroporus marginatus"
"Hydmic","Hydraecia micacea"
"Hydmin","Hydraena minutissima"
"Hydnev","Hydroporus nevadensis"
"Hydnig","Hydroporus nigrita"
"Hydnit","Hydrochus nitidicollis"
"Hydpla","Hydroporus planus"
"Hydpub","Hydroporus pubescens"
"Hydpyg","Hydraena pygmaea"
"Hydrub","Hydriomena ruberata"
"Hydsag","Hydraena saga"
"Hydsha","Hydraena sharpi"
"Hydsil","Hydropsyche siltalai"
"Hydspp","Hydroscapha spp."
"Hydsp1","Hydraena sp. 1"
"Hydsp2","Hydraena sp. 2"
"Hydsta","Hydrometra stagnorum"
"Hydstu","Hydraena stussineri"
"Hydtes","Hydroporus tessellatus"
"Hydtet","Hydraena testacea"
"Hydtru","Hydraena truncata"
"Hygdur","Hygrohypnum duriusculum"
"Hyglur","Hygrohypnum luridum"
"Hygten","Hygroamblystegium tenax"
"Hygvar","Hygroamblystegium varium"
"Hylabi","Hylobius abietis"
"Hylang","Hylastes angustatus"
"Hylarb","Hyla arborea"
"Hylate","Hylastes ater"
"Hylatt","Hylastes attenuatus"
"Hylbaj","Hylotrupes bajulus"
"Hyleup","Hyles euphorbiae"
"Hylfas","Hylaea fasciaria"
"Hyllig","Hylurgus ligniperda"
"Hylobs","Hylastinus obscurus"
"Hylole","Hylis olexai"
"Hylpal","Hylurgops palliatus"
"Hylspl","Hylocomium splendens"
"Hyltel","Hylotelephium telephium"
"Hymlat","Hymenoplia lata"
"Hympro","Hymenolobus procumbens subsp. procumbens"
"Hymrec","Hymenostylium recurvirostrum var. recurvirostrum"
"Hyoalb","Hyoscyamus albus"
"Hyonig","Hyoscyamus niger"
"Hypalb","Hypebaeus albifrons"
"Hypand","Hypericum androsaemum"
"Hypang","Hypnogyra angularis"
"Hypbic","Hypophloeus bicolor"
"Hypcap","Hypericum caprifolium"
"Hypcup","Hypnum cupressiforme"
"Hypcu2","Hypnum cupressiforme var. filiforme"
"Hypcu3","Hypnum cupressiforme var. lacunosum"
"Hypcu4","Hypnum cupressiforme var. resupinatum"
"Hypdej","Hyphoraia dejeani"
"Hypfla","Hypebaeus flavipes"
"Hypgla","Hypochoeris glabra"
"Hyphir","Hypericum hirsutum"
"Hyphum","Hypericum humifusum"
"Hyphys","Hypericum hyssopifolium"
"Hypimb","Hypecoum imberbe"
"Hyplie","Hypophloeus linearis"
"Hyplin","Hypericum linariifolium"
"Hyplup","Hyponephele lupinus"
"Hyplyc","Hyponephele lycaon"
"Hypmon","Hypericum montanum"
"Hyppen","Hypecoum pendulum"
"Hypper","Hypericum perforatum"
"Hyppin","Hypophloeus pini"
"Hypprb","Hypena proboscidalis"
"Hyppro","Hypecoum procumbens"
"Hyppul","Hypericum pulchrum"
"Hyppun","Hypomecis punctinalis"
"Hyprad","Hypochoeris radicata"
"Hyprob","Hypomecis roboraris"
"Hypsav","Hypsugo savii"
"Hyptet","Hypericum tetrapterum"
"Hypund","Hypericum undulatum"
"Hypuni","Hypophloeus unicolor"
"Ibealb","Iberodorcadion albicans ssp. demandense"
"Ibeama","Iberis amara"
"Ibecar","Iberis carnosa subsp. carnosa"
"Ibecir","Iberodorcadion circumcinctum"
"Ibemol","Iberodorcadion molitor"
"Ibenei","Iberodorcadion neilense"
"Ibesax","Iberis saxatilis"
"Idaaly","Idaea alyssumata"
"Idaave","Idaea aversata"
"Idabis","Idaea biselata"
"Idacon","Idaea contiguaria"
"Idadeg","Idaea degeneraria"
"Idadev","Idaea deversaria"
"Idaema","Idaea emarginata"
"Idaeug","Idaea eugeniata"
"Idafus","Idaea fuscovenosa"
"Idalut","Idaea lutulentaria"
"Idaman","Idaea mancipiata"
"Idamon","Idaea moniliata"
"Idaoch","Idaea ochrata"
"Idaost","Idaea ostrinaria"
"Idasec","Idaea sericeata"
"Idaser","Idaea seriata"
"Idastr","Idaea straminata"
"Idasub","Idaea subsericeata"
"Idopic","Idolus picipennis"
"Iduopa","Iduna opaca"
"Ileaqu","Ilex aquifolium"
"Illver","Illecebrum verticillatum"
"Impbal","Impatiens balfourii"
"Inucon","Inula conyza"
"Inucri","Inula crithmoides"
"Inuhee","Inula helenioides"
"Inuhev","Inula helvetica"
"Inulan","Inula langeana"
"Inumon","Inula montana"
"Iphpod","Iphiclides podalirius feisthamelii"
"Ipsacu","Ips acuminatus"
"Ipssex","Ips sexdentatus"
"Irifoe","Iris foetidissima"
"Iriger","Iris germanica"
"Iripse","Iris pseudacorus"
"Isccae","Ischnomera caerulea"
"Isccya","Ischnomera cyanea"
"Iscele","Ischnura elegans"
"Iscgra","Ischnura graellsii"
"Iscpum","Ischnura pumilio"
"Iscsag","Ischnomera sanguinicollis"
"Iscsan","Ischnodes sanguinicollis"
"Iscumb","Ischnopoda umbratica"
"Iscxan","Ischnomera xanthoderes"
"Isoalo","Isothecium alopecuroides"
"Isoech","Isoetes echinosporum"
"Isohol","Isothecium holtii"
"Isomos","Isoperla moselyi"
"Isomyo","Isothecium myosuroides"
"Isopul","Isopterygiopsis pulchella"
"Isospp","Isoperla spp."
"Isslat","Issoria lathonia"
"Itavin","Itame vincularia"
"Ixomin","Ixobrychus minutus"
"Jascri","Jasione crispa"
"Jascr2","Jasione crispa subsp. centralis"
"Jascr3","Jasione crispa subsp. sessiliflora"
"Jasfru","Jasminum fruticans"
"Jasglu","Jasonia glutinosa"
"Jaslae","Jasione laevis"
"Jasla2","Jasione laevis subsp. carpetana"
"Jasla3","Jasione laevis subsp. laevis"
"Jasmon","Jasione montana"
"Jasoff","Jasminum officinale"
"Jodcro","Jodia croceago"
"Jonsav","Jonopsidium savianum"
"Jorglo","Jordanita globulariae"
"Jorhis","Jordanita hispanica"
"Jornot","Jordanita notata"
"Jorsub","Jordanita subsolana"
"Jugreg","Juglans regia"
"Julono","Julodis onopordi"
"Junaci","Juncus acutiflorus"
"Junacu","Juncus acutus"
"Junart","Juncus articulatus"
"Junatr","Jungermannia atrovirens"
"Junbuf","Juncus bufonius"
"Junbul","Juncus bulbosus"
"Juncap","Juncus capitatus"
"Juncmm","Juniperus communis subsp. alpina"
"Juncm2","Juniperus communis subsp. communis"
"Juncm3","Juniperus communis subsp. hemisphaerica"
"Juncon","Juncus conglomeratus var. conglomeratus"
"Juncop","Juncus compressus"
"Junco2","Juncus conglomeratus var. laxus"
"Juneff","Juncus effusus"
"Junef2","Juncus effusus var. effusus"
"Junef3","Juncus effusus var. subglomeratus"
"Junexs","Jungermannia exsertifolia subsp. cordifolia"
"Junger","Juncus gerardi"
"Jungra","Jungermannia gracillima"
"Junhya","Jungermannia hyalina"
"Juninf","Juncus inflexus"
"Junin2","Juncus inflexus var. inflexus"
"Junlei","Jungermannia leiantha"
"Junmar","Juncus maritimus"
"Junoxy","Juniperus oxycedrus"
"Junox2","Juniperus oxycedrus subsp. badia"
"Junox3","Juniperus oxycedrus subsp. oxycedrus"
"Junpho","Juniperus phoenicea subsp. phoenicea"
"Junpum","Jungermannia pumila"
"Junpyg","Juncus pygmaeus"
"Junsqu","Juncus squarrosus"
"Junsun","Juncus subnodulosus"
"Junsuu","Juncus subulatus"
"Junten","Juncus tenageia subsp. tenageia"
"Junthu","Juniperus thurifera"
"Jurhum","Jurinea humilis"
"Jyntor","Jynx torquilla"
"Kicela","Kickxia elatine"
"Kicspu","Kickxia spuria"
"Kinpra","Kindbergia praelonga"
"Knaars","Knautia arvernensis"
"Knaarv","Knautia arvensis"
"Knapur","Knautia purpurea"
"Knasub","Knautia subscaposa subsp. Subscaposa"
"Koecra","Koeleria crassipes"
"Koeval","Koeleria vallesiana"
"Korlup","Korscheltellus lupulinus"
"Lablus","Labidostomis lusitanica"
"Labtax","Labidostomis taxicornis"
"Lacbil","Lacerta bilineata"
"Laccon","Lacanobia contigua"
"Lachir","Lachnaia hirta"
"Lacnea","Laccobius neapolitanus"
"Lacobs","Laccobius obscuratus"
"Lacpar","Lachnaia paradoxa"
"Lacper","Lactuca perennis"
"Lacpub","Lachnaia pubescens"
"Lacser","Lactuca serriola"
"Lacsin","Laccobius sinuatus"
"Lacten","Lactuca tenerrima"
"Lactri","Lachnaia trisigma"
"Lacvic","Lachnaia vicina"
"Lacvir","Lactuca virosa"
"Lacvi2","Lactuca viminea subsp. chondrilliflora"
"Lacvi3","Lactuca viminea subsp. ramosissima"
"Lacw-l","Lacanobia  w-latinum"
"Lacyte","Laccobius ytenensis"
"Laemon","Laemophloeus monilis"
"Laerob","Laeosopis roboris"
"Laghir","Lagria hirta"
"Lamamp","Lamium amplexicaule"
"Lamboe","Lampides boeticus"
"Lamfes","Lamprodila festiva"
"Lamgal","Lamium galeobdolon"
"Lammac","Lamium maculatum"
"Lampur","Lamium purpureum"
"Lamsol","Lamprodila solieri"
"Lamsuf","Lampropteryx suffumata"
"Lamtex","Lamia textor"
"Lancol","Lanius collurio"
"Lanmer","Lanius meridionalis"
"Lansen","Lanius senator"
"Laopop","Laothoe populi"
"Lapcom","Lapsana communis subsp. communis"
"Lapsqu","Lappula squarrosa"
"Larcan","Larus canus"
"Lardec","Larix decidua"
"Lareur","Larix x eurolepis"
"Larfus","Larus fuscus"
"Larmic","Larus michaellis"
"Larmin","Larus minutus"
"Larpar","Larcasia partita"
"Larscl","Larinioides sclopetarius"
"Lasbas","Lasiocephala basalis"
"Laseli","Laserpitium eliasii"
"Lasgal","Laserpitium gallicum"
"Laslat","Laserpitium latifolium"
"Laslim","Lastrea limbosperma"
"Lasmae","Lasiommata maera"
"Lasmeg","Lasiommata megera"
"Lasque","Lasiocampa quercus"
"Lassil","Laserpitium siler"
"Lastri","Lasiocampa trifolii"
"Lataph","Lathyrus aphaca"
"Latass","Latridius assimilis"
"Latcic","Lathyrus cicera"
"Latcla","Lathraea clandestina"
"Latfil","Lathyrus filiformis"
"Lathir","Lathyrus hirsutus"
"Lathit","Latridius hirtus"
"Latlat","Lathyrus latifolius"
"Latlin","Lathyrus linifolius"
"Latnig","Lathyrus niger subsp. niger"
"Latocc","Lathyrus occidentalis"
"Latpra","Lathyrus pratensis"
"Latsep","Lathropus sepicola"
"Latset","Lathyrus setifolius"
"Latsph","Lathyrus sphaericus"
"Latsqu","Lathraea squamaria"
"Lattub","Lathyrus tuberosus"
"Laupum","Launaea pumila"
"Laures","Launaea resedifolia"
"Lavcre","Lavatera cretica"
"Lavlat","Lavandula latifolia"
"Lavsto","Lavandula stoechas subsp. pedunculata"
"Lecana","Lecithocera anatolica"
"Legcas","Legousia castellana"
"Leghyb","Legousia hybrida"
"Leiang","Leistus angulatus"
"Leianu","Leistus angusticollis"
"Leibar","Leistus barnevillei"
"Leicol","Leiocolea collaris"
"Leitur","Leiocolea turbinata"
"Lejcav","Lejeunea cavifolia"
"Lemmin","Lemna minor"
"Leoaut","Leontodon autumnalis"
"Leocar","Leontodon carpetanus subsp. carpetanus"
"Leohis","Leontodon hispidus subsp. hispidus"
"Leopyr","Leontodon pyrenaicus subsp. cantabricus"
"Leotar","Leontodon taraxacoides"
"Leota2","Leontodon taraxacoides subsp. hispidus"
"Leota3","Leontodon taraxacoides subsp. longirostris"
"Leota4","Leontodon taraxacoides subsp. taraxacoides"
"Lepaur","Leptura aurulenta"
"Lepcam","Lepidium campestre"
"Lepdec","Leptinotarsa decemlineata"
"Lepeur","Lepus europaeus / Lepus capensis"
"Lepgib","Lepomis gibbosus"
"Lepgra","Lepidium graminifolium"
"Lepgrn","Lepus granatensis"
"Lephet","Lepidium heterophyllum"
"Lephir","Lepidium hirtum"
"Leplat","Lepidium latifolium"
"Lepmut","Leptorchestes mutilloides"
"Lepocc","Leptoglossus occidentalis"
"Leppir","Leptotes pirithous"
"Leppun","Leptophies punctatissima"
"Leprea","Leptidea reali"
"Leprep","Lepidozia reptans"
"Leprip","Leptodictyum riparium"
"Lepruf","Leptusa ruficollis"
"Lepsin","Leptidea sinapis"
"Lepsmi","Leptodon smithii"
"Lepsub","Lepidium subulatum"
"Lepten","Lepthyphantes tenuis"
"Lepvir","Lepturobosca virens"
"Lesbar","Lestes barbarus"
"Lesdry","Lestes dryas"
"Leslon","Lesteva longoelytrata"
"Lesspo","Lestes sponsa"
"Lesvid","Lestes viridis"
"Lesvir","Lestes virens"
"Leualp","Leucanthemopsis alpina"
"Leucon","Leuzea conifera"
"Leuirc","Leucanthemum ircutianum"
"Leulor","Leucania loreyi"
"Leuodi","Leucochlaena oditis"
"Leupal","Leucanthemum pallens"
"Leupa1","Leucanthemopsis pallida subsp. pallida"
"Leupun","Leucania punctosa"
"Leuput","Leucania putrescens"
"Leusci","Leucodon sciuroides"
"Leusc2","Leucodon sciuroides var. morensis"
"Leuvul","Leucanthemum vulgare"
"Leuvu2","Leucanthemum vulgare subsp. eliasii"
"Libdep","Libellula depressa"
"Libqua","Libellula quadrimaculata"
"Licaeq","Licinus aequatus sierrae"
"Ligluc","Ligusticum lucidum subsp. lucidum"
"Ligvul","Ligustrum vulgare"
"Lillil","Lilioceris lilii"
"Lilmar","Lilium martagon"
"Limabo","Limodorum abortivum"
"Limass","Limodromus assimilis"
"Limech","Limonium echioides"
"Limger","Limnebius gerhardíi"
"Limhib","Limonium hibericum"
"Limint","Limnius intermedius"
"Limlap","Limosa lapponica"
"Limlim","Limosa limosa"
"Limopa","Limnius opacus"
"Limpau","Limonium paui"
"Limper","Limnius perrisi carinatus"
"Limred","Limenitis reducta"
"Limrui","Limonium ruizii"
"Limspp","Limnius spp."
"Limtru","Limnebius truncatettus"
"Limvio","Limoniscus violaceus"
"Limvol","Limnius volckmari"
"Linaer","Linaria aeruginea"
"Linalp","Linaria alpina"
"Linal2","Linaria alpina var. aciculifolia"
"Linarv","Linaria arvensis"
"Linbad","Linaria badalii"
"Linbie","Linum bienne"
"Lincae","Linaria caesia"
"Lincat","Linum catharticum"
"Linele","Linaria elegans"
"Lingla","Linaria glauca"
"Linmar","Linum maritimum"
"Linmic","Linaria micrantha"
"Linnar","Linum narbonense"
"Linpro","Linaria proxima"
"Linrep","Linaria repens"
"Linsim","Linaria simplex"
"Linspa","Linaria spartea"
"Linstr","Linum strictum"
"Linsuf","Linum suffruticosum"
"Linsup","Linaria supina"
"Linsu2","Linum suffruticosum subsp. appressum"
"Linsu3","Linum suffruticosum subsp. salsoloides"
"Linsu4","Linum suffruticosum subsp. suffruticosum"
"Linten","Linyphia tenuipalpis"
"Lintri","Linyphia triangularis"
"Linusi","Linum usitatissimum"
"Linvis","Linum viscosum"
"Liomaj","Liocranum majus"
"Lishel","Lissotriton helveticus"
"Lislit","Lissodema lituratum"
"Lisova","Listera ovata"
"Litarv","Lithospermum arvense"
"Litfru","Lithodora fruticosa"
"Litinc","Lithospermum incrassatum"
"Litlea","Lithophane leautieri"
"Litoff","Lithospermum officinale"
"Litorn","Lithophane ornitopus"
"Litpur","Lithospermum purpurocaeruleum"
"Litqua","Lithosia quadra"
"Litsem","Lithophane semibrunnea"
"Lituni","Littorela uniflora"
"Lixjun","Lixus juncii"
"Lobaen","Lobonyx aeneus"
"Lobmar","Lobularia maritima"
"Loccap","Lochmaea caprea"
"Loccra","Lochmaea crataegi"
"Locnae","Locustella naevia"
"Locsut","Lochmaea suturalis"
"Logarv","Logfia arvensis"
"Loggal","Logfia gallica"
"Logmin","Logfia minima"
"Lolmul","Lolium multiflorum"
"Lolper","Lolium perenne"
"Lolrig","Lolium rigidum subsp. rigidum"
"Lomste","Lomelosia stellata"
"Loncap","Lonicera caprifolium"
"Lonetr","Lonicera etrusca"
"Lonimp","Lonicera implexa"
"Lonper","Lonicera periclymenum"
"Lonpyr","Lonicera pyrenaica subsp. pyrenaica"
"Lonsuc","Longitarsus succineus"
"Lonxyl","Lonicera xylosteum"
"Lopbic","Lophozia bicrenata"
"Lopbid","Lophocolea bidentata"
"Lopcri","Lophochloa cristata"
"Lopcr2","Lophophanes cristatus"
"Lopinc","Lophozia incisa"
"Loplit","Lophyridia littoralis"
"Loplon","Lophozia longiflora"
"Lopven","Lophozia ventricosa"
"Lorexo","Lordithon exoletus"
"Lorlun","Lordithon lunulatus"
"Lorpil","Loricera pilicornis"
"Lortho","Lordithon thoracicus"
"Lortri","Lordithon trimaculatus"
"Lortrn","Lordithon trinotatus"
"Lotcor","Lotus corniculatus"
"Lotco2","Lotus corniculatus subsp. alpinus"
"Lotgla","Lotus glaber"
"Lothis","Lotus hispidus"
"Lotmar","Lotus maritimus"
"Lotped","Lotus pedunculatus"
"Lotpre","Lotus preslii"
"Loxcur","Loxia curvirostra"
"Lozfor","Lozotaenioides formosanus"
"Lucbar","Lucanus barbarossa"
"Luccer","Lucanus cervus"
"Lularb","Lullula arborea"
"Lumbrc","Lumbriculidae"
"Lumbri","Lumbricidae"
"Lunann","Lunaria annua subsp. annua"
"Luncru","Lunularia cruciata"
"Lupang","Lupinus angustifolius"
"Lupdum","Luperina dumerilii"
"Lupnic","Luperina nickerlii"
"Luptes","Luperina testacea"
"Lusmeg","Luscinia megarhynchos"
"Lussve","Luscinia svecica"
"Lutlut","Lutra lutra"
"Luzcae","Luzula caespitosa"
"Luzcam","Luzula campestris subsp. carpetana"
"Luzfor","Luzula forsteri"
"Luzhis","Luzula hispanica"
"Luzlac","Luzula lactea"
"Luzmul","Luzula multiflora"
"Luzmu2","Luzula multiflora subsp. congesta"
"Luzmu3","Luzula multiflora subsp. multiflora"
"Luznig","Luzea nigritula"
"Luznut","Luzula nutans"
"Luzpil","Luzula pilosa"
"Luzrip","Luzea ripicola"
"Luzsyl","Luzula sylvatica"
"Luzsy2","Luzula sylvatica subsp. henriquesii"
"Lycalc","Lycaena alciphron"
"Lycbru","Lyctus brunneus"
"Lyccla","Lycopodium clavatum"
"Lyceum","Lycium europaeum"
"Lyceus","Lycopus europaeus"
"Lycflo","Lychnis flos-cuculi subsp. flos-cuculi"
"Lychip","Lycaena hippothoe"
"Lychir","Lycia hirtaria"
"Lycinu","Lycopodiella inundata"
"Lycphl","Lycaena phlaeas"
"Lycpor","Lycophotia porphyrea"
"Lyctit","Lycaena tityrus"
"Lycvir","Lycaena virgaureae"
"Lygcra","Lygephila craccae"
"Lygsan","Lygistopterus sanguineus"
"Lygspa","Lygeum spartum"
"Lymdis","Lymantria dispar"
"Lymmin","Lymnocryptes minimus"
"Lymmon","Lymantria monacha"
"Lysalb","Lysandra albicans"
"Lyseph","Lysimachia ephemerum"
"Lysnem","Lysimachia nemorun"
"Lysvul","Lysimachia vulgaris"
"Lytcru","Lythria cruentaria"
"Lytpor","Lythrum portula"
"Lytpur","Lythria purpuraria"
"Lytsal","Lythrum salicaria"
"Lytves","Lytta vesicatoria"
"Macnid","Macaroeris nidicolens"
"Macrub","Macrothylacia rubi"
"Macste","Macroglossum stellatarum"
"Macwau","Macaria wauaria"
"Magruf","Magdalis ruficornis"
"Malaeg","Malva aegyptia"
"Malafr","Malcolmia africana"
"Malalc","Malva alcea"
"Malbip","Malachius bipustulatus"
"Malcas","Malacosoma castrensis"
"Malesp","Maladera espagnoli"
"Malfac","Malthinus facialis"
"Malfla","Malthinus flaveolus"
"Malfro","Malthinus frontalis"
"Mallus","Malachius lusitanicus"
"Malmar","Malthodes marginatus"
"Malmon","Malpolon monspessulanus"
"Malmos","Malva moschata"
"Malneg","Malva neglecta"
"Malneu","Malacosoma neustria"
"Malnic","Malva nicaeensis"
"Malpar","Malva parviflora"
"Malram","Malcolmia ramosissima"
"Maltou","Malva tournefortiana"
"Maltri","Malva trifida"
"Manaca","Mangora acalypha"
"Manand","Mannia androgyna"
"Manjur","Maniola jurtina"
"Mansal","Mantisalca salmantica"
"Maraly","Marrubium alysson"
"Marang","Marmaronetta angustirostris"
"Maraur","Margaritifera auricularia"
"Marema","Marsupella emarginata"
"Marfoi","Martes foina"
"Marmar","Martes martes"
"Marpol","Marchantia polymorpha"
"Marpo1","Marchantia polymorpha L. subsp. ruderalis"
"Marsph","Marsupella sphacelata"
"Marstr","Margarinotus striola succicola"
"Marvul","Marrubium vulgare"
"Matfru","Matthiola fruticulosa subsp. fruticulosa"
"Maulep","Mauremys leprosa"
"Mausyl","Malus sylvestris"
"Mavsyl","Malva sylvestris"
"Mecasi","Mecyna asinalis"
"Meccam","Meconopsis cambrica"
"Medara","Medicago arabica"
"Medbip","Mediimorda bipunctata"
"Medlit","Medicago littoralis"
"Medlup","Medicago lupulina"
"Medmin","Medicago minima"
"Medmon","Medicago monspeliaca"
"Medorb","Medicago orbicularis"
"Medpoc","Medicago polyceratia"
"Medpom","Medicago polymorpha"
"Medrig","Medicago rigidula"
"Medsat","Medicago sativa subsp. sativa"
"Medsuf","Medicago suffruticosa"
"Medtru","Medicago truncatula"
"Megpur","Megodontus purpurascens"
"Megstr","Meganola strigula"
"Megtog","Meganola togatulalis"
"Megund","Megatoma undata"
"Meivil","Meligethes villosus"
"Melaen","Meligethes aeneus"
"Melalb","Melilotus albus"
"Melalt","Melilotus altissima"
"Melame","Meliboeus amethystinus"
"Melath","Melitaea athalia"
"Melaut","Meloe autumnalis"
"Melbre","Meloe brevicollis"
"Melbrv","Meligethes brevis"
"Melbup","Melasis buprestoides"
"Melcal","Melanocorypha calandra"
