"Código","Nombre oficial","Autor","Definición oficial"
"722070","Phagnalo saxatilis-Cheilanthion maderensis","Loisel 1970 corr. F.J. Pérez, T.E. Díaz, P. Fernández & Salvo 1989","Vegetación pteridofítica de fisuras de roquedos silici-basícolas termo-mesomediterráneos ibéricos"
"722071","Umbilico violacei-Asplenietum corunnensis","P. Silva 1970 corr. Rivas-Martínez & Izco 2002","Vegetación pteridofítica de fisuras de roquedos serpentinícolas meso-supramediterráneos lusitano-durienses"
"722072","Cheilantho maderensis-Cosentinietum velleae","Ladero ex F.J. Pérez, T.E. Díaz, P. Fernández & Salvo 1989","Vegetación pteridofítica de fisuras de roquedos silici-basícolas termo-mesomediterráneas árido-subhúmedas alpujarreño-gadorenses, rondeñas, murciano-almerienses y toledano-taganas"
"722073","Cheilantho maderensis-Notholaenetum marantae","O. Bolòs 1956 corr. F.J. Pérez, T.E. Díaz, P. Fernández & Salvo 1989","Vegetación pteridofítica de fisuras de roquedos silici-basícolas termo-mesomediterráneos catalano-valencianos"
"722074","Notholaeno marantae-Cheilanthetum guanchicae","F.J. Pérez, T.E. Díaz, P. Fernández & Salvo 1989","Vegetación pteridofítica de fisuras de roquedos silici-basícolas termomediterráneos rondeños"
"722080","Saxifragion continentalis","Rivas-Martínez in Rivas-Martínez, Fernández-González & Sánchez-Mata 1986","Vegetación rupícola casmo-comofítica de fisuras anchas de roquedos esciófilos silíceos carpetano-leonesa y orocantábrica occidental y meridional"
"722081","Phalacrocarpo oppositifolii-Saxifragetum continentalis","Ortiz & Izco ex F.J. Pérez, T.E. Díaz, P. Fernández & Salvo 1989","Vegetación rupícola casmo-comofítica de fisuras anchas de roquedos esciófilos silíceos berciano-sanabriense y orocantábrica occidental y meridional"
"722082","Sedo hirsuti-Saxifragetum continentalis","Rivas-Martínez 1964","Vegetación rupícola casmo-comofítica de fisuras anchas de roquedos esciófilos silíceos guadarrámica y bejarano-gredense"
"722090","Polypodion serrati","Br.-Bl. in Br.-Bl., Roussine & Nègre 1952","Vegetación brio-pteridofítica epífita o rupícola, ombrófila y esciófila, de suelos poco profundos, cántabro-atlántica, mediterránea ibérico oriental y canaria"
"722091","Gymnogrammo leptophyllae-Davallietum canariensis","Bellot & Casaseca in Casaseca 1959","Vegetación brio-pteridofítica epífita o rupícola, ombrófila y esciófila, de suelos poco profundos pobres en bases, galaico-astutiana y galaico-portuguesa"
"722092","Anogrammo leptophyllae-Umbilicetum rupestris","Ladero, C.J. Valle & Amor 1993","Vegetación brio-pteridofítica epífita o rupícola, ombrófila y esciófila, de suelos poco profundos con Anogramma leptophylla y Umbilicus rupestris"
"722094","Davallio canariensis-Polypodietum macaronesici","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González ex Capelo, J.C.Costa, Lousã, Fontinha, Jardim, Sequeira & Rivas-Martínez 2000","Vegetación brio-pteridofítica epífita o rupícola, ombrófila y esciófila, de suelos poco profundos, pobres en bases, canariao oriental"
"722095","Davallio canariensis-Sedetum baetici","Deil 1994","Vegetación brio-pteridofítica epífita, ombrófila y esciófila, de suelos poco profundos, pobres en bases, aljíbica"
"722096","Minuartietum valentinae","O. Bolòs 1975","Vegetación brio-pteridofítica epífita o rupícola, ombrófila y esciófila, de suelos poco profundos, pobres en bases, valenciano-tarraconense"
"722097","Pterogonio-Polypodietum vulgaris","Mateo 1983","Vegetación brio-pteridofítica epífita o rupícola, ombrófila y esciófila, de suelos poco profundos, pobres en bases, maestracenses meridionales"
"722098","Sedo-Polypodietum serrati","O. Bolòs & Vives in O. Bolòs 1957","Vegetación brio-pteridofítica epífita o rupícola, ombrófila y esciófila, de suelos poco profundos, pobres en bases, vallesano-empordanésa"
"723010","Sedion pyrenaici","Tüxen ex Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas in T.E. Díaz & F. Prieto 1994","Céspedes crasifolios rupestres silicícolas ibéricos de pequeños caméfitos suculentos"
"723011","Agrostio durieui-Sedetum pyrenaici","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984","Céspedes crasifolios de Sedum anglicum subsp. pyrenaicum"
"723012","Sedetum brevifolio-pyrenaici","Rivas-Martínez & Sánchez-Mata in Sánchez-Mata 1989","Céspedes crasifolios carpetano-oroibéricos de Sedum anglicum subsp. pyrenaicum"
"723013","Sedetum micrantho-pyrenaici","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984","Céspedes crasifolios picoeuropeanas de Sedum anglicum subsp. pyrenaicum"
"723015","Sempervivo tectorum-Sedetum rupestris","O. Bolòs 1983","Céspedes crasifolios pirenaicos de Sedum rupestre"
"723016","Sileno rupestris-Sedetum pyrenaici","Tüxen in Tüxen & Oberdorfer 1958","Céspedes crasifolios s orotemplados pirenaicos de Sedum anglicum subsp. pyrenaicum"
"723020","Sedion pedicellato-andegavensis","Rivas-Martínez, Fernández-González & Sánchez-Mata 1986","Pastizales anuales silicícolas de terófitos crasifolios (Sedum spp.)"
"723021","Agrostio truncatulae-Sedetum lusitanici","Rivas-Martínez, Fernández-González & Sánchez-Mata 1986","Pastizales anuales silicícolas de Sedum willkommianum"
"723022","Chamaemelo fuscati-Sedetum andegavensis","Rivas Goday ex Rivas-Martínez, Fernández-González & Sánchez-Mata 1986","Pastizales anuales silicícolas luso-extremadurenses de Sedum andegavense"
"723023","Evaco carpetanae-Sedetum andegavensis","Rivas-Martínez, Fernández-González & Sánchez-Mata 1986","Pastizales anuales silicícolas carpetano-leoneses de Sedum andegavense"
"723024","Polytricho piliferi-Sedetum pedicellati","Rivas-Martínez in Rivas-Martínez, Fernández-González & Sánchez-Mata 1986","Pastizales anuales silicícolas de Sedum pedicellatum"
"723025","Sedetum caespitoso-arenarii","Rivas-Martínez ex Fuente 1986","Pastizales anuales silicícolas iberoatlánticos de Sedum arenarium"
"723030","Thero-Airion","Tüxen & Oberdorfer 1958 em. Rivas-Martínez 1978","Pastizales anuales silicícolas eurosiberianos"
"723031","Airo praecocis-Sedetum arenarii","Izco, J. Guitián & Amigo 1986","Pastizales anuales silicícolas cántabro-atlánticos de Sedum arenarium"
"723040","Hypericion ericoidis","Esteve ex Costa & Peris 1985","Brezales de roca termo-mesomediterráneos valenciano-tarraconenses, setabenses, manchego-murcianos y murciano-almerienses"
"723041","Fumano ericoidis-Hypericetum ericoidis","O. Bolòs 1957","Comunidad casmofítica termo-mesomediterránea alicantino-murciana"
"723042","Fumano ericoidis-Hypericetum ericoidis","O. Bolòs 1957","Comunidad de Teucrium buxifolium subsp. rivasii termo y mesomediterránea alicantina y murciano meridional"
"723043","Thymo piperellae-Hypericetum ericoidis","Costa, Peris & Stübing in Costa & Peris 1985","Brezales termo-mesomediterráneos setabenses"
"731010","Cuevas no explotadas por el turismo","","Cuevas no explotadas por el turismo"
"73201B","Parietarietum filamentosae","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993","Comunidad umbrófila de ratonera"
"73201C","Pericallido lanatae-Sonchetum gummiferi","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993","Comunidad de palomera y cerraja de risco"
"73201D","Phyllido viscosae-Aeonietum sedifolii","Santos & F. Galván 1983","Comunidad de cejera y berol"
"73201E","Prenantho-Taeckholmietum pinnatae","Sunding 1972","Comunidad de cerraja de risco y balillo"
"73201F","Soncho radicati-Aeonietum tabulaeformis","Santos & F. Galván 1983","Comunidad de pastel de risco"
"73201G","Soncho-Greenovietum diplocyclae","Santos 1976","Comunidad de beas"
"73201I","Umbilico gaditani-Aeonietum urbici","García Gallo & Wildpret in Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993 corr. Rivas-Martínez, T.E. Díaz, Fernández-González, Izco, Loidi, Lous","Comunidad antrópica de punteros"
"73201J","Vieraeo laevigatae-Polycarpaeetum carnosae","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993","Comunidad de amargosa y lengua de pájaro"
"732010","Soncho-Aeonion","Sunding 1972","Comunidades rupícolas infra-termomediterráneas"
"732011","Aeonietum canariensis","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993","Comunidad de oreja de abad"
"732012","Aeonietum cuneati","Voggenreiter ex Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993","Comunidad húmeda de berol"
"732013","Aeonietum lindleyi","Voggenreiter ex Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993","Comunidad de gomereta"
"732014","Aeonietum longithyrsii","Santos 1976","Comunidad de sanjora"
"732015","Aeonietum palmensis","Santos 1983","Comunidad de bejeque"
"732016","Aeonietum valverdense","Santos 1976 nom. prov.","Comunidad de Aeonium valverdense herreña"
"732017","Aeonietum virginii","Suárez & Pérez de Paz 1993","Comunidad de góngaro"
"732018","Aeonio decoris-Sonchetum leptocephali","F. Galván 1983","Comunidad de balillos y bejeques gomeros"
"732019","Aeonietum undulato-percarnei","Carqué, Wildpret & García Gallo in Wildpret, García Gallo & Carqué 1996","Comunidad antrópica de punteros grancanarios"
"732020","Greenovion aureae","Santos ex Rivas-Martínez, Wildpret, Del Arco, O. Rodrí­guez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993","Comunidades rupícolas meso-supramediterráneas"
"732021","Cheilantho guanchicae-Aeonietum smithii","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993","Comunidad cumbrera de berol peludo"
"732022","Greenovietum aizoi","Voggenreiter ex Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993","Comunidad de pastel de risco güimarense"
"732023","Greenovietum aureae","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993","Comunidad cumbrera de pastel de risco"
"732024","Greenovietum diplocyclae","Santos 1983","Comunidad cumbrera de beas"
"732025","Greenovio-Aeonietum caespitosi","Sunding 1972","Comunidad de pastel de risco y flor de piedra"
"732026","Tolpidetum calderae","Santos 1983","Comunidad de lechugilla"
"732030","Helianthemion guttati","Br.-Bl., in Br.-Bl., Molinier & Wagner 1940","Pastizales anuales silicícolas mediterráneos (primocolonizadoras de coladas volcánicas)"
"732031","Vulpio myuri-Gnaphalietum teydei","Wildpret & O. Rodríguez in Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993","Pastizales anuales de Gnaphalium teydeum"
"732040","Spartocytision nubigeni","Oberdorfer ex Esteve 1973","Comunidades del retamar de cumbre sobre coladas"
"732041","Violetum cheiranthifoliae","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993","Comunidad de violeta del Teide"
"732050","Vegetación liquénica colonizadora de coladas volcánicas recientes","","Vegetación liquénica colonizadora de coladas volcánicas recientes"
"732051","Stereocauletum vesuviani","Klement 1965","Vegetación liquénica colonizadora de coladas volcánicas recientes con Stereocaulon vesubianum"
"733010","Cuevas marinas sumergidas o parcialmente sumergidas","","Cuevas marinas sumergidas o parcialmente sumergidas"
"734010","Glaciares permanentes","","Glaciares permanentes"
"81B010","Populion albae","Br.-Bl. ex Tchou 1948","Choperas (bosques de fresnos)"
"81B011","Aceri granatensis-Fraxinetum angustifoliae","Molero & Pérez-Raya in J.M. Losa, Molero, Casares & Pérez-Raya 1986","Fresnedas nevadenses"
"81B012","Ficario ranunculoidis-Fraxinetum angustifoliae","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980","Fresnedas occidentales de piedemonte"
"81B013","Fraxino angustifoliae-Quercetum pyrenaicae","Rivas Goday 1964 corr. Rivas-Martínez, Fernández-González & A. Molina in Fernández-González & A. Molina 1988","Fresnedas con melojos"
"81B020","Aceri granatensis-Quercion fagineae","(Rivas Goday, Rigual & Rivas-Martínez in Rivas Goday, Borja, Esteve, Galiano, Rigual & Rivas-Martínez 1960) Rivas-Martínez 1987","Micro-mesobosques climácicos decíduos de quejigos y arces meso-supramediterráneos subhúmedos-húmedos euoceánicos y semicontinentales, que colonizan sustratos ricos y arcillosos (bosques de fresnos)"
"81B021","Fraxino orni-Quercetum fagineae","Rivas Goday & Rigual in Rivas Goday, Borja, Esteve, Galiano, Rigual & Rivas-Martínez 1960 corr. Rivas-Martínez 1972","Quejigares acidófilos setabenses con fresno florido"
"81B030","Querco rotundifoliae-Oleion sylvestris","Barbéro, Quézel & Rivas-Martínez in Rivas-Martínez, Costa & Izco 1986","Meso y microbosques mediterráneos occidentales"
"81B031","Viburno tini-Fraxinetum orni","Costa, Pérez-Badia & P. Soriano 1995","Fresnedas basófilas relictas setabenses (bosques de Fraxinus ornus)"
"81E010","Alnion incanae","Pawlowski in Pawlowski, Sokolowski & Wallisch 1928","Alisedas eurosiberianas (alisedas)"
"81E011","Carici pendulae-Alnetum glutinosae","O. Bolòs & Oberdorfer in Oberdorfer 1953","Alisedas catalanas"
"81E012","Alno glutinosae-Equisetetum hyemalis","O. Bolòs 1957","Alisedas pirenaicas"
"81E013","Hyperico androsaemi-Alnetum glutinosae","(Br.-Bl. 1967) Rivas-Martínez in Loidi 1983","Alisedas cantábricas"
"81E014","Alno glutinosae-Lamietum flexuosi","(O. Bolòs in Oberdorfer 1953) O. Bolòs 1954","Alisedas"
"81E015","Lathraeo clandestinae-Populetum nigrae","O. Bolòs & P. Montserrat 1984","Choperas pirenaicas"
"81E016","Omphalodo nitidae-Coryletum avellanae","Amigo,G.Azcárate & Romero 1994","Avellanares basófilos galaico-asturianos y laciano-ancarenses"
"81E017","Valeriano pyrenaicae-Alnetum glutinosae","Amigo, J. Guitián & F. Prieto 1987","Alisedas atlánticas"
"81E020","Osmundo-Alnion","(Br.-Bl., P. Silva & Rozeira 1956) Dierschke & Rivas-Martínez in Rivas-Martínez 1975","Alisedas"
"81E021","Carici lusitanicae-Alnetum glutinosae","T.E. Díaz & F. Prieto 1994","Alisedas cántabro-atlánticas"
"81E022","Galio broteriani-Alnetum glutinosae","Rivas-Martínez, Fuente & Sánchez-Mata 1986","Alisedas supramediterráneas occidentales"
"81E023","Galio broteriani-Betuletum parvibracteatae","Peinado & A. Velasco in Peinado, Moreno & A. Velasco 1983","Abedulares oretanos"
"81E024","Scrophulario scorodoniae-Alnetum glutinosae","Br.-Bl., P. Silva & Rozeira 1956","Alisedas occidentales de piedemonte"
"81E025","Senecioni bayonensis-Alnetum glutinosae","Amigo, J. Guitián & F. Prieto 1987","Alisedas galaico-portuguesas"
"811010","Fagion sylvaticae","Luquet 1926","Hayedos climácicos y hayedos con abetos meso-orotemplados inferiores húmedos-hiperhúmedos, Orocantábricos, Cántabro-Atlánticos, Cevenense-Pirenaicos y localmente distribuídos en el sector Oroibér (hayedos acidófilos pirenaicos)"
"811011","Luzulo niveae-Fagetum sylvaticae","(Susplugas 1942) Br.-Bl., Roussine & Nègre 1952","Hayedos acidófilos pirenaicos"
"811012","Lysimachio nemorum-Fagetum sylvaticae","Gruber 1973 em. Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991","Hayedos mesofíticos y ombrófilos neutro-acidófilos pirenaico centrales"
"812010","Ilici-Fagion","Br.-Bl. 1967","Micro-macrobosques meso-orotemplados inferiores acidófilos de roble albar (Quercus petraea), roble orocantábrico (Quercus orocantabrica) y haya (Fagus sylvatica) euoceánicos y ocasionalmente submediterráneos (hayedos atlánticos acidófilos)"
"812011","Blechno spicanti-Fagetum sylvaticae","(Tüxen & Oberdorfer 1958) Rivas-Martínez 1963","Hayedos acidófilos mesofíticos orocantábricos (hayedos atlánticos acidófilos)"
"812012","Galio rotundifolii-Fagetum sylvaticae","Rivas-Martínez 1963","Hayedos acidófilos mesofíticos guadarrámicos e ibérico-sorianos (hayedos atlánticos acidófilos)"
"812013","Omphalodo nitidae-Fagetum sylvaticae","(Izco, Amigo & J. Guitián 1986) Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991","Hayedos basófilos caurelianos y naviano-ancarenses"
"812014","Saxifrago hirsutae-Fagetum sylvaticae","Br.-Bl. 1967 em. Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991","Hayedos acidófilos supratemplados cántabro-euskaldunes"
"815010","Fagion sylvaticae","Luquet 1926","Hayedos climácicos y hayedos con abetos meso-orotemplados inferiores húmedos-hiperhúmedos, Orocantábricos, Cántabro-Atlánticos, Cevenense-Pirenaicos y localmente distribuídos en el sector Oroibér (hayedos termo-xerófilos calcícolas)"
"815011","Buxo sempervirentis-Fagetum sylvaticae","Br.-Bl. ex Br.-Bl. & Susplugas 1937","Hayedos neutro-basófilos meso-xerofíticos pirenaicos"
"815012","Epipactido helleborines-Fagetum sylvaticae","Rivas-Martínez (1962) 1983","Hayedos neutro-basófilos meso-xerofíticos orocantábricos, cántabro-euskaldunes y oroibéricos"
"815013","Primulo acaulis-Fagetum sylvaticae","O. Bolòs & L. Torres in O. Bolòs 1967","Hayedos neutro-basófilos valenciano-tarraconenses"
"818010","Tilio-Acerion","Klika 1955","Mesobosques decíduos supratemplados húmedos-hiperhúmedos orocantábricos y pirenaicos de tilos, arces y olmos de montaña"
"818012","Hedero-Tilietum platyphylli","Vigo & Carreras in Vigo, Carreras & Gil 1983","Bosque mixto neutrobasófilo con tilos, olmos de montaña y robles pirenaico central, cántabro-euskaldún y castellano-cantábrico."
"82A010","Alnion incanae","Pawlowski in Pawlowski, Sokolowski & Wallisch 1928","Alisedas eurosiberianas (saucedas)"
"82A011","Carici pendulae-Salicetum catalaunicae","A. & O. Bolòs 1950","Saucedas atrocinéreas catalanas"
"82A020","Osmundo-Alnion","Br.-Bl., P. Silva & Rozeira 1956) Dierschke & Rivas-Mar­tínez in Rivas-Martínez 1975","Alisedas"
"82A021","Rubo corylifolii-Salicetum atrocinereae","Rivas-Martínez 1965","Saucedas atrocinéreas occidentales"
"82A022","Viti viniferae-Salicetum atrocinereae","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980","Saucedas atrocinéreas meridionales"
"82A030","Populion albae","Br.-Bl. ex Tchou 1948","Alamedas"
"82A031","Humulo lupuli-Alnetum glutinosae","Biurrun, García-Mijangos & Loidi 1994","Alisedas castellano-cantábricas"
"82A032","Populetum albae","Br.-Bl. ex Tchou 1948","Alamedas albares"
"82A033","Salici neotrichae-Populetum nigrae","T.E. Díaz & Penas in Rivas-Martínez, T.E. Díaz, Fernández-González, Izco, Loidi, Lousã & Penas 2002","Alamedas"
"82A034","Rubio tinctorum-Populetum albae","Br.-Bl. & O. Bolòs 1958","Alamedas albares"
"82A035","Salici atrocinereae-Populetum albae","Rivas Goday 1964","Alamedas occidentales"
"82A036","Salicetum purpureo-albae","Rivas Goday & Borja 1961","Saucedas arbóreas"
"82A037","Vinco-Populetum albae","(O. Bolòs & Molinier 1958) O. Bolòs 1962","Alamedas catalano-valenciano-baleáricas"
"82A040","Populion albae","Br.-Bl. ex Tchou 1948","Alamedas albares (saucedas y choperas)"
"82A041","Opopanaco chironii-Ulmetum minoris","Bellot & Ron in Bellot, Ron & Carballal 1979","Olmedas ibéricas orientales"
"82A042","Aro cylindracei-Ulmetum minoris","T.E. Díaz, Andrés, Llamas, L. Herrero & D. Fernández 1987 corr. Rivas-Martínez & al. in Rivas-Martínez, T.E. Díaz, Fernández-González, Izco, Loidi, Lousã & Penas 2002","Olmedas centro-occidentales"
"82A043","Crataego brevispinae-Populetum albae","Galán in A.V. Pérez, Galán, Deil & Cabezudo 1996","Alamedas gaditanas"
"82A044","Hedero helicis-Ulmetum minoris","O. Bolòs 1979","Olmedas vallesano-empordanesas"
"82A045","Ulmo carpinifoliae-Lithospermetum purpureocaerulei","O. Bolòs 1956","Olmedas septentrionales"
"82A050","Salicion salviifoliae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984","Saucedas salvifolias"
"82A051","Equiseto telmateiae-Salicetum pedicellatae","Díez-Garretas, Cuenca & Asensi 1988","Saucedas meridionales"
"82A052","Erico mediterraneae-Salicetum pedicellatae","Esteve 1973","Saucedas espuñenses"
"82A053","Frangulo alni-Myricetum gale","Peinado & A. Velasco in Peinado, Moreno & A. Velasco 1983","Saucedas con mirto de Brabante"
"82A054","Salicetum angustifolio-salviifoliae","T.E. Díaz & Penas 1987","Saucedas arbustivas"
"82A055","Salicetum cantabricae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984","Saucedas cantábricas"
"82A056","Salicetum salviifoliae","Oberdorfer & Tüxen in Tüxen & Oberdorfer 1958","Saucedas salvifolias"
"82A057","Scrophulario caninae-Salicetum salvifoliae","Bellot 1968","Saucedas arbustivas galaicas"
"82A060","Salicion triandro-neotrichae","Br.-Bl. & O. Bolòs 1958","Saucedas"
"82A061","Salicetum discoloro-angustifoliae","Rivas-Martínez ex G. López 1976 corr. Alcaraz, P. Sánchez, De la Torre, Ríos & J. Alvarez 1991","Saucedas arbustivas"
"82A062","Salicetum neotrichae","Br.-Bl. & O. Bolòs 1958","Saucedas arbóreas"
"82A063","Saponario-Salicetum purpureae","Tchou 1948","Mimbreras pirenaicas"
"82A070","Salicion canariensis","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González ex Rivas-Mar­tínez, Fernández-González & Loidi 1999","Comunidades de sauces"
"82A071","Rubo-Salicetum canariensis","J.C. Rodríguez, Arco & Wildpret 1986","Sauzal"
"82B010","Ericion arboreae","(Rivas-Martínez ex Rivas-Martínez, Costa & Izco 1986) Ri­vas-Martínez 1987","Comunidades acidófilas de margen de bosque y maquias seriales"
"82B011","Rhododendro baetici-Alnetum glutinosae","(Rivas Goday & Rivas-Martínez in Rivas-Martínez 1965) Rivas-Martínez & Sánchez-Mata 2001","Alisedas aljíbicas"
"82B012","Phillyreo angustifoliae-Arbutetum unedonis","Rivas Goday & Galiano in Rivas Goday, Borja, Esteve, Galiano, Rigual & Rivas-Martínez 1960","Madroñales acidófilos con lentisquillas"
"82D010","Tamaricion africanae","Br.-Bl. & O. Bolòs 1958","Tarayales fluviales"
"82D011","Lonicero biflorae-Populetum albae","Alcaraz, Ríos & P. Sánchez in Alcaraz, T.E. Díaz, Rivas-Martínez & P. Sánchez 1989","Choperas murciano-almerienses"
"82D012","Polygono equisetiformis-Tamaricetum africanae","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980","Tarayales ripícolas"
"82D013","Tamaricetum gallicae","Br.-Bl. & O. Bolòs 1958","Tarayales ripícolas fluviales"
"82D014","Comunidad de Tamarix africana","","Tarayales de Tamarix africana"
"82D020","Tamaricion boveano-canariensis","Izco, Fernández-González & A. Molina 1984","Tarayales halófilos"
"82D021","Agrostio stoloniferae-Tamaricetum canariensis","Cirujano 1981","Tarayales manchegos"
"82D022","Atriplici ifniensis-Tamaricetum canariensis","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993","Tarayales canarios"
"82D023","Inulo crithmoidis-Tamaricetum boveanae","Izco, Fernández-González & A. Molina 1984","Tarayales murciano-almerienses"
"82D024","Suaedo braun-blanquetii-Tamaricetum boveanae","(Izco, Fernández-González & A. Molina 1984) Fernández-González, A. Molina & Loidi 1990","Tarayales aragoneses"
"82D025","Comunidad de Tamarix boveana","","Tarayales de Tamarix boveana"
"82D030","Rubo ulmifolii-Nerion oleandri","O. Bolòs 1985","Adelfares"
"82D031","Leucoio pulchelli-Viticetum agni-casti","O. Bolòs & Molinier 1958","Sauzgatillares"
"82D032","Rubo ulmifolii-Loniceretum biflorae","Alcaraz, Ríos & P. Sánchez 1987","Espinal de madreselvas."
"82D033","Rubo ulmifolii-Nerietum oleandri","O. Bolòs 1956","Adelfares"
"82D034","Vinco-Viticetum agni-casti","O. Bolòs 1956","Sauzgatillares"
"82D035","Comunidad de Nerium oleander","","Adelfares"
"82D040","Securinegion buxifoliae","Rivas Goday 1964","Tamujares"
"82D041","Pyro bourgaeanae-Securinegetum tinctoriae","(Rivas Goday 1964) Rivas-Martínez & Rivas Goday 1975","Tamujares extremeños"
"823010","Quercion pyrenaicae","Rivas Goday ex Rivas-Martínez 1965","Micro-macrobosques puros o mixtos de carballo (Quercus robur) y melojo (Quercus pyrenaica), termo-supratemplados y submediterráneos, meso-supramediterráneos, hiperoceánicos a semicontinentales, sobre sustratos pobres"
"823011","Linario triornithophorae-Quercetum pyrenaicae","Rivas-Martínez, T.E.Díaz, F. Prieto, Loidi & Penas 1984","Rebollares acidófilos orocantábricos y astur-galaicos"
"823012","Melampyro pratensis-Quercetum pyrenaicae","Rivas-Martínez ex Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984","Melojares acidófilos cántabro-euskaldunes"
"823013","Rusco aculeati-Quercetum roboris","Br.-Bl., P. Silva & Rozeira 1956","Carballedas galaico-portuguesas"
"823014","Vaccinio myrtilli-Quercetum roboris","P. Silva, Rozeira & Contes 1950","Carballedas acidófilas galaico-portuguesas"
"82302A","Comunidad de Salix atrocinerea-Quercus pyrenaica","M.I. Romero (1993) ined.","Melojar acidófilo con Salix atrocinerea"
"823020","Quercion pyrenaicae","Rivas Goday ex Rivas-Martínez 1965","Micro-macrobosques puros o mixtos de carballo (Quercus robur) y melojo (Quercus pyrenaica), termo-supratemplados y submediterráneos, meso-supramediterráneos, hiperoceánicos a semicontinentales, sobre sustratos pobres"
"823021","Adenocarpo decorticantis-Quercetum pyrenaicae","Martínez-Parras & Molero 1983","Melojar acidófilo bético"
"823022","Arbuto unedonis-Quercetum pyrenaicae","(Rivas Goday in Rivas Goday, Esteve, Galiano, Rigual & Rivas-Martínez 1960) Rivas-Martínez 1987","Melojar acidófilo lusitano-duriense"
"823023","Berberido australis-Quercetum pyrenaicae","F. Valle, Gómez-Mercado & Mota 1988","Melojares acidófilos alcazarenses"
"823024","Cephalanthero rubrae-Quercetum pyrenaicae","O. Bolòs & Vigo in O. Bolòs 1967","Melojares acidófilos maestracenses y valenciano-tarraconenses"
"823025","Festuco braun-blanquetii-Quercetum pyrenaicae","Br.-Bl.1967 corr.in Rivas-Martínez, T.E. Díaz, Fernández-González, Izco, Loidi, Lousã & Penas 2002","Melojar acidófilo castellano-cantábrico"
"823026","Genisto falcatae-Quercetum pyrenaicae","Penas & T.E.Díaz ex Rivas-Martínez in Rivas-Martínez, T.E. Díaz, Fernández-González, Izco, Loidi, Lousã & Penas 2002","Melojares acidófilos berciano-sanabrenses y salmantinos"
"823027","Holco mollis-Quercetum pyrenaicae","Br.-Bl., P. Silva & Rozeira 1956","Melojar acidófilo berciano-sanabrense y leonés"
"823028","Luzulo forsteri-Quercetum pyrenaicae","Rivas-Martínez 1963","Melojar acidófilo guadarrámico y oroibérico-soriano"
"823029","Sorbo torminalis-Quercetum pyrenaicae","Rivas Goday ex Rivas-Martínez 1987","Melojar acidófilo luso-extremadurense"
